,username,date,tweet,language,hashtags
1085,borisjohnson,2020-02-01,"Thank you to @SteveBarclay, @LordCallanan, @JamesDuddridge and to everyone at DExEU for all of your hard work and dedication in getting Brexit delivered.",en,[]
1084,borisjohnson,2020-02-02,"Thank you to all emergency services responding to the incident in Streatham, which the police have now declared as terrorism-related. My thoughts are with the injured and all those affected.",en,[]
1083,borisjohnson,2020-02-03,"We are re-emerging, after decades of hibernation, as a campaigner for global free trade 🇬🇧🌏  https://t.co/zos7YKVCvd",en,[]
1080,borisjohnson,2020-02-04,"Let’s make this year the moment when we come together with the courage and the technological ambition to solve man-made climate change and to choose a cleaner, greener future for all our children and grandchildren.  https://t.co/wuFS5z2cFY",en,[]
1081,borisjohnson,2020-02-04,🎙 I’m hosting another #PeoplesPMQs tomorrow night at 5pm.    💬 Send me your questions here:  https://t.co/f85fLz0f4z  https://t.co/NpVYMUHom7,en,['peoplespmqs']
1082,borisjohnson,2020-02-04,"Delighted to launch the UN Climate Summit  @COP26 with Sir David Attenborough at the  @sciencemuseum this morning.   There is no greater responsibility than protecting our planet, and no mission that a Global Britain is prouder to serve.  https://t.co/iBgkYuTetm",en,[]
1079,borisjohnson,2020-02-05,WATCH LIVE: I answer your questions #PeoplesPMQs #PPMQs  https://t.co/r836l07xpy,en,"['peoplespmqs', 'ppmqs']"
1077,borisjohnson,2020-02-06,We are shortly bringing forward legislation to end the automatic early release of terrorist offenders. #PeoplesPMQs  https://t.co/KMOttaHiP0,en,['peoplespmqs']
1076,borisjohnson,2020-02-06,We’re increasing our support for military veterans.    https://t.co/n9LYBGjDry,en,[]
1078,borisjohnson,2020-02-06,We're transforming mental health services for children and young people – putting in the money and resources so every child can get the support they need.   #ChildrensMentalHealthWeek  https://t.co/sVHXhqlbOe,en,['childrensmentalhealthweek']
1075,borisjohnson,2020-02-07,.@KarenPierceUN is an outstanding and accomplished diplomat and I can think of no better person to drive forward our hugely important relationship with the United States at this time. I’m delighted she’ll be representing us in Washington.,en,[]
1074,borisjohnson,2020-02-11,"HS2 is going to be a truly fantastic opportunity for Birmingham, the Midlands and for the whole country.  https://t.co/g4J47XEtXw",en,[]
1073,borisjohnson,2020-02-11,"Fantastic to visit HS2’s Birmingham Curzon Street site this afternoon.   This project will deliver better, faster and more reliable transport connections across the country.  https://t.co/5T53bNMXoT",en,[]
1072,borisjohnson,2020-02-12,"We’re going to unite and level up across the country with better rail, less congested roads and beautiful British-build buses - making travel cleaner, greener, quicker, safer and more frequent.     https://t.co/ombj6Bb0s9",en,[]
1071,borisjohnson,2020-02-14,"This government will deliver on the priorities of the British people.   Investing more in our NHS and schools, levelling up with better infrastructure, and tackling crime with 20,000 more police on the streets.  https://t.co/vMz7O9cXtO",en,[]
1070,borisjohnson,2020-02-14,"We’re here to deliver for the people of this country.   We're going to cut crime, we're going to tackle homelessness, and we’re going to invest more in our NHS and schools.  https://t.co/DSuQLBPQRZ",en,[]
1069,borisjohnson,2020-02-18,This morning I spoke to Chinese President Xi to express my sympathy and support for those affected by the coronavirus outbreak. The UK government has donated vital medical equipment to the region and we will continue to offer our assistance. (1/2),en,[]
1068,borisjohnson,2020-02-18,"We also agreed on the need to work together to tackle climate change, and resolved to strengthen our economic partnership. (2/2)",en,[]
1067,borisjohnson,2020-02-19,"Next year, we will implement a points-based immigration system - welcoming the best and brightest from around the world whilst maintaining full control of our borders.     https://t.co/XFbjECICbD",en,[]
1066,borisjohnson,2020-02-20,My thoughts are with the people of Germany as they grieve those lost in the terrible attack in Hanau last night.   The UK stands with our German friends against this racist assault on our values.,en,[]
1065,borisjohnson,2020-02-20,"I'm deeply saddened to hear of the attack at the London Central Mosque. It's so awful that this should happen, especially in a place of worship. My thoughts are with the victim and all those affected.",en,[]
1064,borisjohnson,2020-02-24,I was delighted to welcome the young winners of the 'Your NHS' art competition to Downing Street today.   Their creative designs and visions for our NHS were spectacular.  https://t.co/l5G5p4slUa,en,[]
1063,borisjohnson,2020-02-27,"We want to end rough sleeping, help get people off the streets and provide them with the support and encouragement that they need.  https://t.co/WMfg72hEa1",en,[]
1062,borisjohnson,2020-02-28,A huge win in Hillingdon East by-election - thanks to the @Hillingdon_Tory team for their hard work during the campaign.   Colleen has already proven she’s a strong voice for local residents in Hillingdon and I know she’ll be a great addition to the fantastic team of councillors!,en,[]
1061,borisjohnson,2020-03-01,"Coronavirus may very well be a challenge in the weeks and months ahead.  But I have no doubt that with the help of the NHS and its ­incomparable staff, this country will get through it — and beat it.   https://t.co/r7LvqR9MuH",en,[]
1060,borisjohnson,2020-03-02,An update on coronavirus following COBR.  https://t.co/k34Q4XL4MF,en,[]
1059,borisjohnson,2020-03-04,"Today, two years on from the chemical attack in Salisbury, my thoughts remain with all those impacted. It is heartening to see the historic city welcoming visitors and looking to the future, thanks to the strength and character of the community.",en,[]
1058,borisjohnson,2020-03-07,Fantastic afternoon at Twickenham watching the rugby and congratulating the Red Roses on their recent victory.   Congratulations @EnglandRugby and well played @WelshRugbyUnion!  https://t.co/0wilNJXqJD,en,[]
1057,borisjohnson,2020-03-08,Today I visited Worcestershire to see the recovery efforts and pay tribute to the emergency services following flooding.  https://t.co/pF4iQXBSmP,en,[]
1056,borisjohnson,2020-03-09,"It is absolutely critical in managing the spread of this virus that we take the right decisions at the right time, based on the latest and best evidence.  https://t.co/8BbEeJ4dTb",en,[]
1055,borisjohnson,2020-03-11,"Dr Jenny Harries, Deputy Chief Medical Officer, came into Downing Street to answer some of the most commonly asked questions on coronavirus.  https://t.co/jByRhFFfat",en,[]
1054,borisjohnson,2020-03-11,"If you are unwell and think you might have coronavirus, stay at home and either call 111 or use the online service:  https://t.co/xDm8Sg8LnS",en,[]
1053,borisjohnson,2020-03-12,It is with deep sadness that I learned that a UK soldier was killed in the attack at the Taji military base last night. My thoughts go out to their loved ones at this extremely difficult time.,en,[]
1052,borisjohnson,2020-03-12,"The UK’s Chief Medical Officer on the government’s updated advice on #COVID19   If you have: a new continuous cough OR a high temperature (37.8 degrees or higher), you should stay at home for seven days.  Read the full guidance now:  https://t.co/hmhS6y5caq  https://t.co/BbSg7CbEmY",en,['covid19']
1051,borisjohnson,2020-03-13,"This country will get through this epidemic, just as it has got through many tougher experiences before.  https://t.co/3KfFGyRWzA",en,[]
1050,borisjohnson,2020-03-13,"If you have symptoms of coronavirus, it’s important that you stay at home for seven days to help protect your friends and neighbours.  More info:  https://t.co/47UIka9nis  https://t.co/lJyAoDgmcv",en,[]
1049,borisjohnson,2020-03-14,"If you have: a new continuous cough OR a high temperature (37.8 degrees or higher), you should stay at home for 7 days.   Read more here on how best to protect yourself and others whilst staying at home:  https://t.co/P5Ch222CYT  https://t.co/LsLU9wWqBL",en,[]
1048,borisjohnson,2020-03-15,Latest NHS advice:  If you have: a new continuous cough OR a high temperature  You should stay at home for seven days.  Read the full guidance now:  https://t.co/hmhS6y5caq  https://t.co/v8oNM0UU2I,en,[]
1047,borisjohnson,2020-03-16,An update on the latest coronavirus advice.  https://t.co/meymkGzBj3  https://t.co/qPAYFEpdCK,en,[]
1045,borisjohnson,2020-03-17,Today the government has updated its travel guidance with immediate effect.   We are now advising against all non-essential overseas travel.  https://t.co/Zdm45PKyuU,en,[]
1042,borisjohnson,2020-03-17,"I want to say a huge thank you on behalf of the whole country to everyone working in our NHS, for all your hard work at this difficult time.  https://t.co/7hpUFMsfLw",en,[]
